YBR068C	BAP2
YBR069C	TAT1
YBR070C	SAT2
YBR071W	YBR071W
YBR072W	HSP26
YBR073W	RDH54
YBR074W	YBR074W
YBR075W	YBR075W
YBR076W	ECM8
YBR077C	YBR077C
YBR078W	ECM33
YBR079C	RPG1
YBR080C	SEC18
YBR081C	SPT7
YBR082C	UBC4
YBR083W	TEC1
YBR084C-A	RPL19A
YBR084W	MIS1
YBR085C-A	YBR085C-A
YBR085W	AAC3
YBR086C	IST2
YBR087W	RFC5
YBR088C	POL30
YBR089C-A	NHP6B
YBR089W	YBR089W
YBR090C	YBR090C
YBR091C	MRS5
YBR092C	PHO3
YBR093C	PHO5
YBR094W	YBR094W
YBR095C	YBR095C
YBR096W	YBR096W
YBR097W	VPS15
YBR098W	MMS4
YBR099C	YBR099C
YBR100W	YBR100W
YBR101C	YBR101C
YBR102C	EXO84
YBR103W	SIF2
YBR104W	YMC2
YBR105C	VID24
YBR106W	PHO88
YBR107C	IML3
YBR108W	YBR108W
YBR109C	CMD1
YBR110W	ALG1
YBR111C	YSA1
YBR112C	CYC8
YBR113W	YBR113W
YBR114W	RAD16
YBR115C	LYS2
YBR116C	YBR116C
YBR117C	TKL2
YBR118W	TEF2
YBR119W	MUD1
YBR120C	CBP6
YBR121C	GRS1
YBR122C	MRPL36
YBR123C	TFC1
YBR124W	YBR124W
YBR125C	PTC4
YBR126C	TPS1
YBR127C	VMA2
YBR128C	APG14
YBR129C	OPY1
YBR130C	SHE3
YBR131W	CCZ1
YBR132C	AGP2
YBR133C	HSL7
YBR134W	YBR134W
YBR135W	CKS1
YBR136W	MEC1
YBR137W	YBR137W
YBR138C	HDR1
YBR139W	YBR139W
YBR140C	IRA1
YBR141C	YBR141C
YBR142W	MAK5
YBR143C	SUP45
YBR144C	YBR144C
YBR145W	ADH5
YBR146W	MRPS9
YBR147W	YBR147W
YBR148W	YSW1
YBR149W	ARA1
YBR150C	TBS1
YBR151W	APD1
YBR152W	SPP381
YBR153W	RIB7
YBR154C	RPB5
YBR155W	CNS1
YBR156C	SLI15
YBR157C	ICS2
YBR158W	CST13
YBR159W	YBR159W
YBR160W	CDC28
YBR161W	YBR161W
YBR162C	TOS1
YBR162W-A	YSY6
YBR163W	DEM1
YBR164C	ARL1
YBR165W	UBS1
YBR166C	TYR1
YBR167C	POP7
YBR168W	YBR168W
YBR169C	SSE2
YBR170C	NPL4
YBR171W	SEC66
YBR172C	SMY2
YBR173C	UMP1
YBR174C	YBR174C
YBR175W	SWD3
YBR176W	ECM31
YBR177C	EHT1
YBR178W	YBR178W
YBR179C	FZO1
YBR180W	DTR1
YBR181C	RPS6B
YBR182C	SMP1
YBR183W	YPC1
YBR184W	YBR184W
YBR185C	MBA1
YBR186W	PCH2
YBR187W	YBR187W
YBR188C	NTC20
YBR189W	RPS9B
YBR190W	YBR190W
YBR191W	RPL21A
YBR192W	RIM2
YBR193C	MED8
YBR194W	YBR194W
YBR195C	MSI1
YBR196C	PGI1
YBR197C	YBR197C
YBR198C	TAF90
YBR199W	KTR4
YBR200W	BEM1
YBR201W	DER1
YBR202W	CDC47
YBR203W	YBR203W
YBR204C	YBR204C
YBR205W	KTR3
YBR206W	YBR206W
YBR207W	FTH1
YBR208C	DUR1
YBR209W	YBR209W
YBR210W	YBR210W
YBR211C	AME1
YBR212W	NGR1
YBR213W	MET8
YBR214W	SDS24
YBR215W	HPC2
YBR216C	YBR216C
YBR217W	APG12
YBR218C	PYC2
YBR220C	YBR220C
YBR221C	PDB1
YBR222C	FAT2
YBR223C	YBR223C
YBR224W	YBR224W
YBR225W	YBR225W
YBR226C	YBR226C
YBR227C	MCX1
YBR228W	SLX1
YBR229C	ROT2
YBR230C	YBR230C
YBR231C	AOR1
YBR232C	YBR232C
YBR233W	PBP2
YBR234C	ARC40
YBR235W	YBR235W
